Div,Date,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
D1,2017-02-11,Werder Bremen,MGladbach,1637.99,1719.24,0.0,2.0,7.0,7.0,0.0,1.0,A,0.0,1.0,A,16.0,12.0,6.0,3.0,16.0,17.0,9.0,3.0,2.0,2.0,0.0,0.0,2.88,3.5,2.4
D1,2017-02-12,Freiburg,FC Koln,1666.06,1724.04,3.0,7.0,7.0,9.0,2.0,1.0,H,1.0,1.0,D,12.0,12.0,6.0,5.0,17.0,15.0,7.0,1.0,1.0,1.0,0.0,0.0,2.7,3.1,2.8
D1,2017-02-12,Wolfsburg,Hoffenheim,1691.56,1726.27,3.0,9.0,6.0,8.0,2.0,1.0,H,0.0,1.0,A,13.0,14.0,7.0,7.0,16.0,18.0,4.0,5.0,3.0,2.0,0.0,0.0,2.5,3.4,2.8
D1,2017-02-17,Augsburg,Leverkusen,1661.22,1775.49,6.0,7.0,3.0,7.0,1.0,3.0,A,0.0,2.0,A,12.0,20.0,4.0,10.0,12.0,14.0,2.0,4.0,3.0,1.0,0.0,0.0,3.25,3.25,2.25
D1,2017-02-18,Dortmund,Wolfsburg,1856.19,1691.52,4.0,8.0,3.0,9.0,3.0,0.0,H,1.0,0.0,H,24.0,6.0,10.0,3.0,17.0,15.0,9.0,2.0,2.0,1.0,0.0,0.0,1.44,4.5,7.5
D1,2017-02-18,Ein Frankfurt,Ingolstadt,1705.35,1584.9,6.0,9.0,3.0,3.0,0.0,2.0,A,0.0,1.0,A,15.0,14.0,6.0,11.0,16.0,12.0,4.0,5.0,4.0,0.0,1.0,1.0,2.05,3.1,4.2
D1,2017-02-18,Hamburg,Freiburg,1632.25,1663.56,6.0,9.0,6.0,9.0,2.0,2.0,D,1.0,1.0,D,6.0,12.0,4.0,3.0,15.0,9.0,7.0,5.0,3.0,2.0,0.0,0.0,2.05,3.4,3.75
D1,2017-02-18,Hertha,Bayern Munich,1687.54,2004.51,3.0,6.0,7.0,13.0,1.0,1.0,D,1.0,0.0,H,11.0,16.0,2.0,7.0,19.0,10.0,3.0,4.0,2.0,3.0,0.0,0.0,10.0,4.33,1.36
D1,2017-02-18,Hoffenheim,Darmstadt,1727.37,1540.23,3.0,7.0,3.0,4.0,2.0,0.0,H,0.0,0.0,D,14.0,7.0,5.0,4.0,12.0,19.0,4.0,2.0,3.0,4.0,0.0,0.0,1.45,4.5,7.5
D1,2017-02-18,Mainz,Werder Bremen,1677.27,1623.35,4.0,5.0,0.0,1.0,0.0,2.0,A,0.0,2.0,A,13.0,8.0,5.0,4.0,14.0,10.0,7.0,6.0,3.0,4.0,0.0,0.0,1.95,3.5,4.0
