Div,Date,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
T1,2017-03-03,Trabzonspor,Karabukspor,1461.34,1419.95,5.0,11.0,6.0,9.0,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1.8,3.6,4.33
T1,2017-03-04,Besiktas,Rizespor,1700.21,1386.01,6.0,12.0,1.0,4.0,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.3,5.0,10.0
T1,2017-03-04,Bursaspor,Gaziantepspor,1451.84,1359.72,1.0,1.0,5.0,5.0,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1.91,3.5,3.9
T1,2017-03-05,Adanaspor,Konyaspor,1357.3,1498.55,0.0,6.0,2.0,5.0,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,,2.9,3.25,2.45
T1,2017-03-05,Buyuksehyr,Alanyaspor,1597.21,1407.15,4.0,7.0,7.0,7.0,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,,1.45,4.33,7.0
T1,2017-03-05,Fenerbahce,Osmanlispor,1636.27,,3.0,6.0,3.0,4.0,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1.83,3.6,4.2
T1,2017-03-05,Kayserispor,Kasimpasa,1429.76,1488.48,9.0,13.0,7.0,7.0,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,,2.15,3.4,3.3
T1,2017-03-06,Antalyaspor,Galatasaray,1490.71,1573.46,4.0,10.0,1.0,4.0,2.0,3.0,A,1.0,2.0,A,,,,,,,,,,,,,3.1,3.4,2.25
T1,2017-03-06,Genclerbirligi,Akhisar Belediyespor,1473.78,1455.85,3.0,4.0,6.0,7.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,2.2,3.1,3.5
T1,2017-03-10,Alanyaspor,Fenerbahce,1407.15,1636.27,4.0,7.0,5.0,6.0,2.0,3.0,A,2.0,2.0,D,,,,,,,,,,,,,4.0,3.5,1.91
T1,2017-03-11,Galatasaray,Genclerbirligi,1573.46,1473.78,4.0,7.0,6.0,7.0,3.0,2.0,H,2.0,1.0,H,,,,,,,,,,,,,1.65,3.5,5.75
T1,2017-03-11,Gaziantepspor,Kasimpasa,1359.72,1488.48,2.0,5.0,5.0,8.0,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,2.25,3.1,3.3
T1,2017-03-11,Karabukspor,Adanaspor,1419.95,1357.3,3.0,6.0,0.0,3.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.62,3.6,6.0
T1,2017-03-11,Osmanlispor,Bursaspor,,1451.84,3.0,4.0,3.0,4.0,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,1.57,3.8,6.0
T1,2017-03-12,Besiktas,Kayserispor,1700.21,1429.76,9.0,12.0,7.0,13.0,2.0,2.0,D,0.0,0.0,D,,,,,,,,,,,,,1.36,4.75,8.5
T1,2017-03-12,Konyaspor,Buyuksehyr,1498.55,1597.21,4.0,5.0,7.0,10.0,0.0,3.0,A,0.0,1.0,A,,,,,,,,,,,,,3.3,3.2,2.25
T1,2017-03-12,Rizespor,Antalyaspor,1386.01,1490.71,1.0,4.0,3.0,7.0,1.0,2.0,A,0.0,2.0,A,,,,,,,,,,,,,2.5,3.3,2.8
T1,2017-03-13,Akhisar Belediyespor,Trabzonspor,1455.85,1461.34,3.0,6.0,5.0,11.0,1.0,3.0,A,1.0,0.0,H,,,,,,,,,,,,,2.88,3.2,2.5
T1,2017-03-17,Fenerbahce,Konyaspor,1645.1,1492.61,7.0,9.0,4.0,5.0,2.0,3.0,A,1.0,2.0,A,,,,,,,,,,,,,1.44,4.2,7.5
T1,2017-03-18,Adanaspor,Akhisar Belediyespor,1345.0,1434.98,0.0,0.0,3.0,6.0,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,2.7,3.2,2.6
T1,2017-03-18,Kasimpasa,Osmanlispor,1499.22,,7.0,11.0,1.0,4.0,3.0,2.0,H,2.0,2.0,D,,,,,,,,,,,,,2.7,3.4,2.5
T1,2017-03-18,Kayserispor,Gaziantepspor,1437.83,1347.25,5.0,11.0,1.0,5.0,3.0,4.0,A,2.0,2.0,D,,,,,,,,,,,,,1.83,3.5,4.33
T1,2017-03-18,Trabzonspor,Galatasaray,1481.05,1586.08,7.0,11.0,6.0,7.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,2.2,3.4,3.2
T1,2017-03-19,Antalyaspor,Besiktas,1491.43,1696.9,3.0,7.0,7.0,10.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,4.33,3.6,1.8
T1,2017-03-19,Bursaspor,Alanyaspor,1460.58,1401.39,4.0,5.0,3.0,7.0,1.0,3.0,A,1.0,1.0,D,,,,,,,,,,,,,2.05,3.6,3.3
T1,2017-03-19,Buyuksehyr,Karabukspor,1614.0,1422.36,9.0,10.0,6.0,9.0,3.0,3.0,D,1.0,1.0,D,,,,,,,,,,,,,1.62,3.8,5.5
T1,2017-03-19,Genclerbirligi,Rizespor,1479.04,1378.24,3.0,6.0,0.0,1.0,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1.85,3.3,4.5
T1,2017-04-01,Akhisar Belediyespor,Buyuksehyr,1431.4,1612.62,0.0,3.0,7.0,11.0,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,,3.8,3.2,2.05
T1,2017-04-01,Alanyaspor,Kasimpasa,1422.43,1510.78,3.0,7.0,7.0,11.0,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,,2.1,3.5,3.3
T1,2017-04-01,Antalyaspor,Kayserispor,1500.39,1430.55,4.0,7.0,2.0,8.0,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,,2.1,3.4,3.4
T1,2017-04-01,Karabukspor,Fenerbahce,1433.83,1636.48,4.0,7.0,6.0,8.0,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,3.6,3.2,2.1
T1,2017-04-02,Besiktas,Genclerbirligi,1709.67,1488.14,5.0,11.0,6.0,9.0,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.44,4.33,7.0
T1,2017-04-02,Konyaspor,Bursaspor,1511.32,1449.63,6.0,7.0,4.0,4.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.75,3.4,5.0
T1,2017-04-02,Osmanlispor,Gaziantepspor,,1364.62,1.0,4.0,3.0,5.0,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,,1.62,3.6,5.75
T1,2017-04-02,Rizespor,Trabzonspor,1379.22,1498.68,0.0,1.0,9.0,11.0,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,,3.0,3.4,2.3
T1,2017-04-03,Galatasaray,Adanaspor,1578.54,1358.68,6.0,7.0,3.0,3.0,4.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.36,5.0,7.5
T1,2017-04-07,Bursaspor,Karabukspor,1449.63,1433.83,1.0,4.0,4.0,7.0,3.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,2.15,3.3,3.4
T1,2017-04-08,Gaziantepspor,Alanyaspor,1364.62,1422.43,6.0,7.0,6.0,9.0,2.0,3.0,A,0.0,1.0,A,,,,,,,,,,,,,2.38,3.2,3.0
T1,2017-04-08,Genclerbirligi,Antalyaspor,1488.14,1500.39,3.0,6.0,7.0,7.0,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,,2.05,3.3,3.6
T1,2017-04-08,Trabzonspor,Besiktas,1498.68,1709.67,9.0,13.0,5.0,11.0,3.0,4.0,A,1.0,1.0,D,,,,,,,,,,,,,2.88,3.3,2.4
T1,2017-04-09,Adanaspor,Rizespor,1358.68,1379.22,3.0,3.0,0.0,0.0,1.0,3.0,A,0.0,1.0,A,,,,,,,,,,,,,2.5,3.25,2.8
T1,2017-04-09,Fenerbahce,Akhisar Belediyespor,1636.48,1431.4,6.0,10.0,3.0,6.0,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,,1.36,4.33,10.0
T1,2017-04-09,Kayserispor,Osmanlispor,1430.55,,1.0,5.0,1.0,1.0,1.0,4.0,A,1.0,2.0,A,,,,,,,,,,,,,2.45,3.25,2.88
T1,2017-04-10,Buyuksehyr,Galatasaray,1612.62,1578.54,4.0,10.0,6.0,9.0,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,2.15,3.3,3.4
T1,2017-04-10,Kasimpasa,Konyaspor,1510.78,1511.32,6.0,10.0,6.0,10.0,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,2.1,3.25,3.6
T1,2017-04-12,Gaziantepspor,Genclerbirligi,1364.62,1488.14,6.0,6.0,4.0,7.0,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,3.1,3.1,2.4
T1,2017-04-21,Karabukspor,Kasimpasa,1417.62,1496.43,1.0,4.0,4.0,8.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,2.15,3.4,3.25
T1,2017-04-21,Konyaspor,Gaziantepspor,1518.53,1366.79,7.0,10.0,3.0,6.0,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,,1.91,3.3,4.2
T1,2017-04-22,Alanyaspor,Osmanlispor,1441.54,,9.0,9.0,3.0,4.0,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,2.38,3.5,2.8
T1,2017-04-22,Antalyaspor,Trabzonspor,1505.46,1499.72,5.0,8.0,6.0,12.0,0.0,3.0,A,0.0,0.0,D,,,,,,,,,,,,,3.0,3.1,2.45
T1,2017-04-22,Genclerbirligi,Kayserispor,1488.99,1410.23,4.0,7.0,0.0,2.0,2.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,,2.05,3.2,3.8
T1,2017-04-22,Rizespor,Buyuksehyr,1384.53,1612.12,3.0,3.0,4.0,10.0,3.0,3.0,D,1.0,1.0,D,,,,,,,,,,,,,4.0,3.2,2.0
T1,2017-04-23,Akhisar Belediyespor,Bursaspor,1437.65,1451.86,3.0,3.0,3.0,7.0,5.0,1.0,H,4.0,1.0,H,,,,,,,,,,,,,2.0,3.2,4.0
T1,2017-04-23,Galatasaray,Fenerbahce,1570.17,1643.74,3.0,9.0,6.0,12.0,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,2.63,3.1,2.75
T1,2017-04-24,Besiktas,Adanaspor,1714.46,1339.94,7.0,11.0,3.0,3.0,3.0,2.0,H,1.0,1.0,D,,,,,,,,,,,,,1.17,6.5,17.0
T1,2017-04-28,Gaziantepspor,Karabukspor,1366.79,1417.62,3.0,9.0,1.0,5.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,2.05,3.4,3.5
T1,2017-04-29,Kayserispor,Alanyaspor,1410.23,1441.54,0.0,1.0,6.0,9.0,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,2.0,3.5,3.6
T1,2017-04-29,Trabzonspor,Genclerbirligi,1499.72,1488.99,6.0,12.0,7.0,10.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1.57,4.0,5.5
T1,2017-04-30,Adanaspor,Antalyaspor,1339.94,1505.46,0.0,3.0,4.0,8.0,2.0,5.0,A,0.0,3.0,A,,,,,,,,,,,,,3.2,3.3,2.25
